Description,Real GDP of England at market prices,Real GDP of England at factor cost ,"Real UK GDP at market prices, geographically-consistent estimate based on post-1922 borders","Real UK GDP at factor cost, geographically-consistent estimate based on post-1922 borders","Index of real UK GDP at factor cost - based on changing political boundaries, ",Composite estimate of English and (geographically-consistent) UK real GDP at factor cost,HP-filter of log of real composite estimate of English and UK real GDP at factor cost,"Real UK gross disposable national income at market prices, constant border estimate",Real consumption,Real investment,Stockbuilding contribution,Real government consumption of goods and services,Export volumes,Import volumes,Nominal GDP of England at market prices,Nominal UK GDP at market prices,Nominal UK GDP at market prices.1,Population (GB+NI),Population (England),Employment,Unemployment rate,Average weekly hours worked,"Capital Services, whole economy",TFP growth,Labour productivity,Labour productivity.1,"Labour share, whole economy excluding rents",GDP deflator at market prices,Export prices,Import prices,Terms of Trade,$ Oil prices,Earnings per head,Consumer price index,Consumer price inflation,Real consumption wages,Wholesale/producer price index,Bank Rate,Bank Rate.1,10 year/medium-term government bond yields,Consols / long-term government bond yields,Mortgage rates,Corporate borrowing rate from banks,Corporate bond yields,Share prices,$/£ exchange rate,Real $/£ exchange rate,Nominal ERI,Real ERI,House price index,Credit ,Secured credit,Bank of England Balance sheet,Bank of England Balance sheet.1,Coin in circulation outside the Bank of England,Notes and coin in circulation,Monetary base,M1,Broad Money ,Public sector Total Managed Expenditure,Public sector Total Managed Expenditure.1,Public Sector Total Receipts,Public Sector Total Receipts.1,Public Sector Net Lending(+)/Borrowing(-),Public Sector Net Lending(+)/Borrowing(-).1,UK Public sector debt,UK Public sector debt.1,UK Public sector debt.2,Central Government Gross Debt,Central Government Gross Debt.1,Trade deficit,Trade deficit.1,Current account ,Current account .1,Current account deficit including estimated non-monetary bullion flows,Current account deficit including estimated non-monetary bullion flows.1
1526,3066,2672,,,,0.2092,3.59,,,,,,45.5,,4.96,,,,2447,,,,,,,,,0.16,,,,,0.067,0.15,-1.92,55.48,,,,,,,,,,,,,,,,,,,1.40,,,,,,,,,,,,,,,,,,,,,
1527,2864,2496,,,,0.1954,-3.57,,,,,,48.0,,5.19,,,,2472,,,,,,,,,0.18,,,,,0.066,0.17,12.88,48.26,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,
1528,2908,2534,,,,0.1984,-2.43,,,,,,49.8,,7.22,,,,2497,,,,,,,,,0.25,,,,,0.070,0.24,40.27,36.40,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,
1529,2970,2588,,,,0.2027,-0.73,,,,,,45.3,,5.89,,,,2523,,,,,,,,,0.20,,,,,0.068,0.19,-19.35,43.91,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,
1530,3026,2637,,,,0.2064,0.62,,,,,,45.0,,6.13,,,,2548,,,,,,,,,0.20,,,,,0.080,0.19,0.08,51.53,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,
1531,2941,2563,,,,0.2007,-2.76,,,,,,41.2,,5.61,,,,2574,,,,,,,,,0.19,,,,,0.074,0.20,1.67,47.10,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,
1532,3062,2668,,,,0.2089,0.63,,,,,,39.4,,6.01,,,,2601,,,,,,,,,0.19,,,,,0.067,0.20,1.71,42.09,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,
1533,3065,2671,,,,0.2091,0.05,,,,,,46.2,,6.23,,,,2627,,,,,,,,,0.20,,,,,0.075,0.20,-1.70,47.55,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,
1534,3221,2807,,,,0.2198,4.32,,,,,,52.6,,6.09,,,,2654,,,,,,,,,0.19,,,,,0.082,0.17,-11.82,58.96,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,
1535,3018,2630,,,,0.2059,-2.95,,,,,,44.6,,5.96,,,,2681,,,,,,,,,0.20,,,,,0.063,0.20,13.12,40.12,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,
1536,3001,2616,,,,0.2048,-4.29,,,,,,52.9,,6.24,,,,2708,,,,,,,,,0.21,,,,,0.056,0.20,3.91,34.47,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,
1537,3252,2834,,,,0.2219,2.87,,,,,,49.1,,6.75,,,,2736,,,,,,,,,0.21,,,,,0.084,0.21,1.27,50.70,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,
1538,3097,2699,,,,0.2113,-2.87,,,,,,49.0,,5.68,,,,2763,,,,,,,,,0.18,,,,,0.075,0.18,-12.19,51.89,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,
1539,3361,2929,,,,0.2293,4.43,,,,,,54.9,,5.89,,,,2792,,,,,,,,,0.17,,,,,0.071,0.17,-4.32,51.49,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,
1540,3268,2848,,,,0.2230,0.79,,,,,,57.1,,5.81,,,,2820,,,,,,,,,0.18,,,,,0.081,0.18,4.92,55.92,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,
1541,3175,2767,,,,0.2166,-2.88,,,,,,62.9,,6.40,,,,2830,,,,,,,,,0.20,,,,,0.084,0.20,8.81,53.29,,,,,,,,,,,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,
1542,3318,2892,,,,0.2264,0.78,,,,,,55.5,,6.52,,,,2868,,,,,,,,,0.20,,,,,0.083,0.19,-3.18,54.40,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,
1543,3217,2804,,,,0.2195,-3.02,,,,,,43.5,,6.88,,,,2884,,,,,,,,,0.21,,,,,0.082,0.21,8.15,49.57,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,
1544,3419,2980,,,,0.2333,2.41,,,,,,45.2,,8.00,,,,2916,,,,,,,,,0.23,,,,,0.083,0.22,6.84,46.96,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,
1545,3308,2883,,,,0.2257,-1.44,,,,,,48.0,,7.70,,,,2912,,,,,,,,,0.23,,,,,0.075,0.25,13.60,37.55,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,
1546,3353,2922,,,,0.2288,-0.54,,,,,,52.0,,8.83,,,,2908,,,,,,,,,0.26,,,,,0.079,0.27,7.98,36.44,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,
1547,3623,3157,,,,0.2472,6.90,,,,,,57.0,,7.20,,,,2910,,,,,,,,,0.20,,,,,0.088,0.20,-25.95,54.56,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,,,,,,,
1548,3504,3054,,,,0.2391,3.46,,,,,,57.5,,7.07,,,,2952,,,,,,,,,0.20,,,,,0.085,0.20,-1.46,53.83,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,
1549,3382,2948,,,,0.2308,-0.03,,,,,,58.0,,8.44,,,,2981,,,,,,,,,0.25,,,,,0.089,0.25,25.06,44.89,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,
1550,3379,2945,,,,0.2305,-0.01,,,,,,58.6,,10.25,,,,3021,,,,,,,,,0.30,,,,,0.108,0.31,27.05,42.97,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,
1551,3326,2898,,,,0.2269,-1.46,,,,,,49.7,,11.57,,,,3065,,,,,,,,,0.35,,,,,0.100,0.35,10.50,36.09,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,
1552,3190,2780,,,,0.2177,-5.51,,,,,,37.5,,9.49,,,,3087,,,,,,,,,0.30,,,,,0.109,0.31,-11.29,44.29,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,
1553,3747,3265,,,,0.2556,10.56,,,,,,39.2,,10.23,,,,3111,,,,,,,,,0.27,,,,,0.105,0.28,-9.65,47.32,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,
1554,3430,2989,,,,0.2340,1.63,,,,,,41.1,,9.24,,,,3138,,,,,,,,,0.27,,,,,0.107,0.27,-1.53,48.71,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,
1555,3419,2980,,,,0.2333,1.01,,,,,,43.0,,10.68,,,,3162,,,,,,,,,0.31,,,,,0.106,0.33,19.50,40.48,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,
1556,2813,2452,,,,0.1920,-19.10,,,,,,45.0,,10.56,,,,3213,,,,,,,,,0.37,,,,,0.109,0.40,21.66,34.25,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,
1557,3076,2681,,,,0.2099,-11.23,,,,,,47.1,,12.95,,,,3205,,,,,,,,,0.42,,,,,0.120,0.43,6.96,35.16,,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,
1558,3906,3404,,,,0.2665,11.20,,,,,,49.3,,11.67,,,,3134,,,,,,,,,0.30,,,,,0.107,0.29,-31.19,45.76,,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,
1559,3581,3121,,,,0.2443,0.86,,,,,,51.6,,10.77,,,,3037,,,,,,,,,0.30,,,,,0.090,0.31,7.42,35.83,,,,,,,,,,,,,,,,,,,1.79,,,,,,,,,,,,,,,,,,,,,
1560,3574,3115,,,,0.2439,-1.14,,,,,,40.3,,11.92,,,,3015,,,,,,,,,0.33,,,,,0.121,0.33,4.20,45.91,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,
1561,3651,3182,,,,0.2491,-0.91,,,,,,32.2,,12.93,,,,3036,,,,,,,,,0.35,,,,,0.129,0.36,9.63,44.70,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,
1562,3658,3188,,,,0.2496,-2.65,,,,,,27.4,,12.83,,,,3069,,,,,,,,,0.35,,,,,0.127,0.36,-0.21,44.28,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,
1563,4011,3495,,,,0.2737,4.68,,,,,,25.9,,14.38,,,,3100,,,,,,,,,0.36,,,,,0.123,0.37,3.88,41.26,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,
1564,3878,3379,,,,0.2646,-0.43,,,,,,27.6,,14.02,,,,3111,,,,,,,,,0.36,,,,,0.128,0.39,3.82,41.45,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,
1565,3916,3413,,,,0.2672,-0.97,,,,,,59.1,,12.80,,,,3149,,,,,,,,,0.32,,,,,0.129,0.33,-14.82,49.04,,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,
1566,4413,3846,,,,0.3011,9.70,,,,,,30.9,,14.91,,,,3174,,,,,,,,,0.34,,,,,0.134,0.34,3.44,49.14,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,
1567,4167,3631,,,,0.2843,3.02,,,,,,35.9,,14.21,,,,3208,,,,,,,,,0.34,,,,,0.128,0.32,-7.18,50.49,,,,,,,,,,,,,,,,,,,1.79,,,,,,,,,,,,,,,,,,,,,
1568,4203,3663,,,,0.2868,3.23,,,,,,42.8,,14.47,,,,3252,,,,,,,,,0.34,,,,,0.123,0.32,0.57,48.08,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,
1569,4198,3658,,,,0.2864,2.70,,,,,,41.6,,14.44,,,,3275,,,,,,,,,0.34,,,,,0.130,0.35,8.53,46.99,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,
1570,3873,3375,,,,0.2643,-5.60,,,,,,39.6,,13.21,,,,3296,,,,,,,,,0.34,,,,,0.144,0.34,-1.95,53.10,,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,
1571,3889,3389,,,,0.2654,-5.42,,,,,,32.2,,12.51,,,,3310,,,,,,,,,0.32,,,,,0.124,0.33,-3.78,47.62,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,
1572,3786,3299,,,,0.2583,-8.38,,,,,,31.5,,13.37,,,,3341,,,,,,,,,0.35,,,,,0.125,0.36,10.19,43.30,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,
1573,4351,3791,,,,0.2968,5.23,,,,,,33.1,,16.47,,,,3361,,,,,,,,,0.38,,,,,0.152,0.38,5.13,50.23,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,
1574,3862,3366,,,,0.2635,-6.95,,,,,,42.1,,16.05,,,,3381,,,,,,,,,0.41,,,,,0.140,0.44,16.63,39.70,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,
1575,4330,3773,,,,0.2954,4.28,,,,,,44.6,,15.89,,,,3413,,,,,,,,,0.36,,,,,0.143,0.38,-13.02,46.60,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,
1576,4497,3919,,,,0.3069,8.02,,,,,,45.7,,16.83,,,,3448,,,,,,,,,0.37,,,,,0.127,0.39,1.82,40.65,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,
1577,3848,3354,,,,0.2626,-7.42,,,,,,43.3,,14.76,,,,3490,,,,,,,,,0.38,,,,,0.134,0.42,8.49,39.44,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,
1578,4424,3855,,,,0.3018,6.83,,,,,,43.1,,16.56,,,,3527,,,,,,,,,0.37,,,,,0.132,0.39,-7.37,42.10,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,
1579,4383,3820,,,,0.2991,6.45,,,,,,43.0,,15.67,,,,3560,,,,,,,,,0.36,,,,,0.140,0.39,0.15,44.41,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,
1580,4181,3644,,,,0.2853,2.45,,,,,,43.0,,15.94,,,,3602,,,,,,,,,0.38,,,,,0.130,0.37,-6.31,44.10,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,
1581,4063,3541,,,,0.2772,0.40,,,,,,43.2,,16.70,,,,3631,,,,,,,,,0.41,,,,,0.138,0.42,15.04,40.68,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,
1582,3664,3193,,,,0.2500,-9.13,,,,,,43.5,,14.67,,,,3671,,,,,,,,,0.40,,,,,0.141,0.42,-0.74,42.02,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,
1583,4181,3643,,,,0.2852,4.75,,,,,,44.8,,16.89,,,,3722,,,,,,,,,0.40,,,,,0.136,0.40,-4.86,42.38,,,,,,,,,,,,,,,,,,,2.40,,,,,,,,,,,,,,,,,,,,,
1584,4069,3546,,,,0.2777,2.57,,,,,,44.8,,15.99,,,,3768,,,,,,,,,0.39,,,,,0.139,0.40,-0.25,43.49,,,,,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,
1585,3585,3124,,,,0.2446,-9.79,,,,,,44.4,,14.50,,,,3798,,,,,,,,,0.40,,,,,0.135,0.42,6.45,39.77,,,,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,,,,
1586,3523,3070,,,,0.2404,-11.57,,,,,,42.2,,15.74,,,,3841,,,,,,,,,0.44,,,,,0.141,0.50,18.64,34.91,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,
1587,3919,3416,,,,0.2674,-1.29,,,,,,41.8,,17.01,,,,3859,,,,,,,,,0.43,,,,,0.154,0.50,-0.10,38.23,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,
1588,4397,3832,,,,0.3000,9.63,,,,,,41.8,,17.66,,,,3847,,,,,,,,,0.40,,,,,0.147,0.42,-16.61,43.71,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,
1589,3874,3376,,,,0.2643,-3.70,,,,,,43.1,,16.06,,,,3885,,,,,,,,,0.41,,,,,0.135,0.44,4.19,38.67,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,
1590,4145,3612,,,,0.2828,2.32,,,,,,43.6,,18.71,,,,3934,,,,,,,,,0.45,,,,,0.145,0.49,12.76,36.82,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,
1591,4177,3640,,,,0.2850,2.37,,,,,,44.1,,19.32,,,,3938,,,,,,,,,0.46,,,,,0.135,0.49,-1.22,34.60,,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,,,,,,
1592,4515,3935,,,,0.3081,9.51,,,,,,44.5,,19.26,,,,3945,,,,,,,,,0.42,,,,,0.142,0.44,-10.31,40.54,,,,,,,,,,,,,,,,,,,2.96,,,,,,,,,,,,,,,,,,,,,
1593,4780,4166,,,,0.3261,14.62,,,,,,44.9,,20.85,,,,3943,,,,,,,,,0.43,,,,,0.149,0.46,4.90,40.74,,,,,,,,,,,,,,,,,,,3.10,,,,,,,,,,,,,,,,,,,,,
1594,3914,3411,,,,0.2671,-5.96,,,,,,45.2,,18.24,,,,3979,,,,,,,,,0.46,,,,,0.150,0.53,15.31,35.49,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,
1595,3959,3450,,,,0.2701,-5.62,,,,,,45.2,,20.69,,,,4028,,,,,,,,,0.52,,,,,0.155,0.59,11.73,32.92,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,,,,,,
1596,3783,3297,,,,0.2581,-11.35,,,,,,45.3,,21.07,,,,4057,,,,,,,,,0.55,,,,,0.154,0.63,5.97,30.78,,,,,,,,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,
1597,3610,3146,,,,0.2463,-17.72,,,,,,45.3,,21.90,,,,4055,,,,,,,,,0.60,,,,,0.147,0.72,14.86,25.64,,,,,,,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,,,,
1598,4274,3725,,,,0.2916,-2.96,,,,,,45.4,,23.09,,,,4029,,,,,,,,,0.54,,,,,0.154,0.65,-9.39,29.59,,,,,,,,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,
1599,4916,4284,,,,0.3354,8.59,,,,,,45.4,,23.52,,,,4065,,,,,,,,,0.48,,,,,0.130,0.53,-18.42,30.55,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,
1600,4705,4100,,,,0.3210,1.69,,,,,,45.7,,23.39,,,,4115,,,,,,,,,0.49,,,,,0.155,0.55,3.64,35.09,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,
1601,4704,4099,,,,0.3209,-0.79,,,,,,45.9,,23.35,,,,4162,,,,,,,,,0.49,,,,,0.152,0.55,0.73,34.26,,,,,,,,,,,,,,,,,,,3.42,,,,,,,,,,,,,,,,,,,,,
1602,4960,4323,,,,0.3384,2.24,,,,,,52.1,,24.93,,,,4188,,,,,,,,,0.50,,,,,0.146,0.54,-3.38,34.01,,,,,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,
1603,5265,4588,,,,0.3592,6.21,,,,,,42.0,,24.84,,,,4209,,,,,,,,,0.47,,,,,0.153,0.51,-5.13,37.62,,,,,,,,,,,,,,,,,,,3.40,,,,,,,,,,,,,,,,,,,,,
1604,5613,4891,,,,0.3830,10.99,,,,,,50.8,,27.53,,,,4219,,,,,,,,,0.49,,,,,0.159,0.52,1.87,38.30,,,,,,,,,,,,,,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,
1605,5060,4409,,,,0.3452,-0.56,,,,,,54.1,,25.35,,,,4270,,,,,,,,,0.50,,,,,0.159,0.55,6.79,35.92,,,,,,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,,
1606,5338,4652,,,,0.3642,3.97,,,,,,57.6,,28.30,,,,4310,,,,,,,,,0.53,,,,,0.164,0.56,0.88,36.86,,,,,,,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,
1607,4896,4267,,,,0.3341,-5.22,,,,,,58.6,,25.70,,,,4361,,,,,,,,,0.52,,,,,0.171,0.57,2.14,37.47,,,,,,,,,,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,
1608,4674,4073,,,,0.3189,-10.24,,,,,,59.8,,27.64,,,,4398,,,,,,,,,0.59,,,,,0.165,0.66,16.05,31.10,,,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,
1609,5436,4737,,,,0.3709,4.62,,,,,,61.1,,31.84,,,,4435,,,,,,,,,0.58,,,,,0.150,0.67,1.67,27.87,,,,,,,,,,,,,,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,
1610,5774,5032,,,,0.3940,10.57,,,,,,62.6,,31.50,,,,4449,,,,,,,,,0.54,,,,,0.170,0.59,-11.60,35.71,,,,,,,,,,,,,,,,,,,3.85,,,,,,,,,,,,,,,,,,,,,
1611,5318,4635,,,,0.3629,2.44,,,,,,64.2,,28.75,,,,4476,,,,,,,,,0.54,,,,,0.173,0.61,2.99,35.40,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,
1612,5096,4441,,,,0.3477,-1.69,,,,,,66.0,,29.05,,,,4498,,,,,,,,,0.57,,,,,0.167,0.64,5.14,32.35,,,,,,,,,,,,,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,
1613,4927,4293,,,,0.3362,-4.97,,,,,,66.6,,29.01,,,,4518,,,,,,,,,0.59,,,,,0.156,0.68,5.61,28.73,,,,,,,,,,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,,,,,
1614,4752,4141,,,,0.3242,-8.68,,,,,,67.2,,28.34,,,,4518,,,,,,,,,0.59,,,,,0.173,0.67,-1.44,32.25,,,,,,,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,
1615,5176,4511,,,,0.3531,-0.46,,,,,,59.6,,29.60,,,,4553,,,,,,,,,0.57,,,,,0.156,0.65,-2.94,30.00,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,
1616,4901,4271,,,,0.3344,-6.46,,,,,,53.4,,28.49,,,,4568,,,,,,,,,0.58,,,,,0.166,0.66,1.60,31.33,,,,,,,,,,,,,,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,
1617,5411,4715,,,,0.3692,2.69,,,,,,56.7,,31.85,,,,4574,,,,,,,,,0.58,,,,,0.170,0.67,1.97,31.56,,,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,
1618,5415,4719,,,,0.3695,1.94,,,,,,60.2,,32.03,,,,4603,,,,,,,,,0.59,,,,,0.168,0.67,-0.14,31.25,,,,,,,,,,,,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,
1619,4985,4344,,,,0.3401,-7.21,,,,,,57.7,,28.07,,,,4646,,,,,,,,,0.56,,,,,0.175,0.62,-7.61,35.15,,,,,,,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,
1620,5841,5090,,,,0.3986,7.81,,,,,,55.2,,31.18,,,,4689,,,,,,,,,0.53,,,,,0.171,0.58,-6.17,36.61,,,,,,,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,
1621,5879,5123,,,,0.4011,7.75,,,,,,53.9,,31.82,,,,4745,,,,,,,,,0.54,,,,,0.168,0.62,6.02,34.04,,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,
1622,5163,4499,,,,0.3522,-5.77,,,,,,52.8,,31.07,,,,4829,,,,,,,,,0.60,,,,,0.164,0.70,13.91,29.10,,,,,,,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,
1623,5152,4490,,,,0.3515,-6.36,,,,,,54.7,,30.32,,,,4859,,,,,,,,,0.58,,,,,0.172,0.68,-2.67,31.40,,,,,,,,,,,,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,
1624,5817,5069,,,,0.3969,5.56,,,,,,56.7,,33.43,,,,4830,,,,,,,,,0.57,,,,,0.165,0.66,-3.73,31.31,,,,,,,,,,,,,,,,,,,4.88,,,,,,,,,,,,,,,,,,,,,
1625,5864,5110,,,,0.4001,6.38,,,,,,58.7,,35.00,,,,4822,,,,,,,,,0.59,,,,,0.175,0.68,3.82,31.90,,,,,,,,,,,,,,,,,,,5.36,,,,,,,,,,,,,,,,,,,,,
1626,5572,4856,,,,0.3802,1.58,,,,,,60.8,,33.46,,,,4762,,,,,,,,,0.60,,,,,0.182,0.68,-0.02,33.22,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,
1627,5621,4898,,,,0.3835,3.00,,,,,,59.9,,32.29,,,,4797,,,,,,,,,0.57,,,,,0.176,0.63,-8.23,35.02,,,,,,,,,,,,,,,,,,,5.72,,,,,,,,,,,,,,,,,,,,,
1628,6446,5617,,,,0.4398,17.43,,,,,,68.8,,36.74,,,,4896,,,,,,,,,0.57,,,,,0.185,0.62,-1.09,37.26,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,
1629,4812,4193,,,,0.3283,-10.96,,,,,,66.2,,29.02,,,,4974,,,,,,,,,0.60,,,,,0.185,0.65,4.28,35.60,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,
1630,4749,4139,,,,0.3241,-11.56,,,,,,63.9,,31.85,,,,4959,,,,,,,,,0.67,,,,,0.176,0.76,16.99,29.03,,,,,,,,,,,,,,,,,,,5.82,,,,,,,,,,,,,,,,,,,,,
1631,4833,4212,,,,0.3298,-9.40,,,,,,61.9,,34.46,,,,4926,,,,,,,,,0.71,,,,,0.187,0.82,7.90,28.56,,,,,,,,,,,,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,,,
1632,5499,4792,,,,0.3752,3.61,,,,,,68.4,,36.65,,,,4989,,,,,,,,,0.66,,,,,0.180,0.75,-8.38,30.01,,,,,,,,,,,,,,,,,,,5.90,,,,,,,,,,,,,,,,,,,,,
1633,5190,4523,,,,0.3541,-2.32,,,,,,62.3,,34.09,,,,5114,,,,,,,,,0.65,,,,,0.188,0.74,-1.83,31.89,,,,,,,,,,,,,,,,,,,5.99,,,,,,,,,,,,,,,,,,,,,
1634,5318,4634,,,,0.3628,-0.28,,,,,,63.4,,36.28,,,,5177,,,,,,,,,0.68,,,,,0.183,0.75,1.47,30.68,,,,,,,,,,,,,,,,,,,6.07,,,,,,,,,,,,,,,,,,,,,
1635,5526,4816,,,,0.3771,3.00,,,,,,63.8,,37.09,,,,5200,,,,,,,,,0.67,,,,,0.187,0.75,0.52,31.13,,,,,,,,,,,,,,,,,,,6.10,,,,,,,,,,,,,,,,,,,,,
1636,5253,4577,,,,0.3584,-2.75,,,,,,64.3,,33.97,,,,5090,,,,,,,,,0.64,,,,,0.200,0.77,2.56,32.49,,,,,,,,,,,,,,,,,,,6.40,,,,,,,,,,,,,,,,,,,,,
1637,5185,4519,,,,0.3538,-4.82,,,,,,64.7,,36.27,,,,5196,,,,,,,,,0.70,,,,,0.183,0.78,1.16,29.29,,,,,,,,,,,,,,,,,,,6.81,,,,,,,,,,,,,,,,,,,,,
